PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2023,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2024,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2025,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2026,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2027,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2028,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2029,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2030,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2031,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2032,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2033,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2034,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2035,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2036,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2037,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2038,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2039,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2040,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2041,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2042,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2043,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2044,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2045,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2046,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2047,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2048,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2049,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOARGXX,BIOARGXX,,1,2050,,,,,,2.67
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2023,,,,,,2.75
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2024,,,,,,2.75
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2025,,,,,,2.75
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2026,,,,,,2.75
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2027,,,,,,2.75
InputActivityRatio,OPT,GLOBAL,PWRBIOBOLXX,BIOBOLXX,,1,2028,,,,,,2.75
