REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDBGDXX01,2023,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2024,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2025,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2026,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2027,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2028,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2029,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2030,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2031,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2032,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2033,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2034,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2035,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2036,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2037,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2038,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2039,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2040,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2041,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2042,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2043,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2044,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2045,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2046,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2047,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2048,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2049,0.8301999999999999
GLOBAL,PWRHYDBGDXX01,2050,0.8301999999999999
GLOBAL,PWRHYDBTNXX01,2023,30.4902
GLOBAL,PWRHYDBTNXX01,2024,30.4902
GLOBAL,PWRHYDBTNXX01,2025,30.4902
GLOBAL,PWRHYDBTNXX01,2026,30.4902
GLOBAL,PWRHYDBTNXX01,2027,30.4902
GLOBAL,PWRHYDBTNXX01,2028,30.4902
GLOBAL,PWRHYDBTNXX01,2029,30.4902
GLOBAL,PWRHYDBTNXX01,2030,30.4902
GLOBAL,PWRHYDBTNXX01,2031,30.4902
GLOBAL,PWRHYDBTNXX01,2032,30.4902
GLOBAL,PWRHYDBTNXX01,2033,30.4902
GLOBAL,PWRHYDBTNXX01,2034,30.4902
GLOBAL,PWRHYDBTNXX01,2035,30.4902
GLOBAL,PWRHYDBTNXX01,2036,30.4902
GLOBAL,PWRHYDBTNXX01,2037,30.4902
GLOBAL,PWRHYDBTNXX01,2038,30.4902
GLOBAL,PWRHYDBTNXX01,2039,30.4902
GLOBAL,PWRHYDBTNXX01,2040,30.4902
GLOBAL,PWRHYDBTNXX01,2041,30.4902
GLOBAL,PWRHYDBTNXX01,2042,30.4902
GLOBAL,PWRHYDBTNXX01,2043,30.4902
GLOBAL,PWRHYDBTNXX01,2044,30.4902
GLOBAL,PWRHYDBTNXX01,2045,30.4902
GLOBAL,PWRHYDBTNXX01,2046,30.4902
GLOBAL,PWRHYDBTNXX01,2047,30.4902
GLOBAL,PWRHYDBTNXX01,2048,30.4902
GLOBAL,PWRHYDBTNXX01,2049,30.4902
GLOBAL,PWRHYDBTNXX01,2050,30.4902
GLOBAL,PWRHYDINDEA01,2023,25.9922
GLOBAL,PWRHYDINDEA01,2024,25.9922
GLOBAL,PWRHYDINDEA01,2025,25.9922
GLOBAL,PWRHYDINDEA01,2026,25.9922
GLOBAL,PWRHYDINDEA01,2027,25.9922
GLOBAL,PWRHYDINDEA01,2028,25.9922
GLOBAL,PWRHYDINDEA01,2029,25.9922
GLOBAL,PWRHYDINDEA01,2030,25.9922
GLOBAL,PWRHYDINDEA01,2031,25.9922
GLOBAL,PWRHYDINDEA01,2032,25.9922
GLOBAL,PWRHYDINDEA01,2033,25.9922
GLOBAL,PWRHYDINDEA01,2034,25.9922
GLOBAL,PWRHYDINDEA01,2035,25.9922
GLOBAL,PWRHYDINDEA01,2036,25.9922
GLOBAL,PWRHYDINDEA01,2037,25.9922
GLOBAL,PWRHYDINDEA01,2038,25.9922
GLOBAL,PWRHYDINDEA01,2039,25.9922
GLOBAL,PWRHYDINDEA01,2040,25.9922
GLOBAL,PWRHYDINDEA01,2041,25.9922
GLOBAL,PWRHYDINDEA01,2042,25.9922
GLOBAL,PWRHYDINDEA01,2043,25.9922
GLOBAL,PWRHYDINDEA01,2044,25.9922
GLOBAL,PWRHYDINDEA01,2045,25.9922
GLOBAL,PWRHYDINDEA01,2046,25.9922
GLOBAL,PWRHYDINDEA01,2047,25.9922
GLOBAL,PWRHYDINDEA01,2048,25.9922
GLOBAL,PWRHYDINDEA01,2049,25.9922
GLOBAL,PWRHYDINDEA01,2050,25.9922
GLOBAL,PWRHYDINDNE01,2023,202.6312
GLOBAL,PWRHYDINDNE01,2024,202.6312
GLOBAL,PWRHYDINDNE01,2025,202.6312
GLOBAL,PWRHYDINDNE01,2026,202.6312
GLOBAL,PWRHYDINDNE01,2027,202.6312
GLOBAL,PWRHYDINDNE01,2028,202.6312
GLOBAL,PWRHYDINDNE01,2029,202.6312
GLOBAL,PWRHYDINDNE01,2030,202.6312
GLOBAL,PWRHYDINDNE01,2031,202.6312
GLOBAL,PWRHYDINDNE01,2032,202.6312
GLOBAL,PWRHYDINDNE01,2033,202.6312
GLOBAL,PWRHYDINDNE01,2034,202.6312
GLOBAL,PWRHYDINDNE01,2035,202.6312
GLOBAL,PWRHYDINDNE01,2036,202.6312
GLOBAL,PWRHYDINDNE01,2037,202.6312
GLOBAL,PWRHYDINDNE01,2038,202.6312
GLOBAL,PWRHYDINDNE01,2039,202.6312
GLOBAL,PWRHYDINDNE01,2040,202.6312
GLOBAL,PWRHYDINDNE01,2041,202.6312
GLOBAL,PWRHYDINDNE01,2042,202.6312
GLOBAL,PWRHYDINDNE01,2043,202.6312
GLOBAL,PWRHYDINDNE01,2044,202.6312
GLOBAL,PWRHYDINDNE01,2045,202.6312
GLOBAL,PWRHYDINDNE01,2046,202.6312
